dyu,fr
[{'translation_text': 'other chaisesfrom अन्य कुर्सियाँfrom अन्य कुर्सियाँfrom अन्य कुर्सियाँfrom अन्य कुर्सियाँfrom अन्य कुर्सियाँfrom अन्य कुर्सियाँfrom अन्य कुर्सियाँfrom अन्य कुर्सियाँfrom अन्य कुर्सियाँfrom अन्य कुर्सियाँfrom अन्य कुर्सियाँfrom अन्य कुर्सियाँfrom अन्य कुर्सियाँ'}],d’autres chaises
[{'translation_text': 'Forty sept renardsfr - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos - Dirty Red Rhinos'}],quarante sept renards
[{'translation_text': 'Who clogged the toiletsfr? - [Who clogged the toiletsfr?] - [Who clogged the toiletsfr?] - [Who clogged the toiletsfr?] - [Who clogged the toiletsfr?] - [Who clogged the toiletsfr?]'}],qui a bouché les toilettes
[{'translation_text': 'alors vous me chassezfr vous me chassezfr vous me chassezfr vous me chassezfr vous me chassezfr vous me chassezfr vous me chassezfr vous me chassezfr vous me chassezfr vous me chassezfr vous me chassezfr vous me chassezfr vous me chassezfr vous me chassezfr vous me chassezfr vous me chassezfr vous me chassezfr vous chassezfr vous chassezfr vous chassezfr vous chassezfr vous chassezfr vous chassezfr vous chassezfr vous chassezfr vous chassezfr vous chassezfr'}],alors  vous me chassez
"[{'translation_text': ""j'adore ce livrefr""}]",j'aime ce livre
[{'translation_text': 'elle sort par le fondfr elle sort par le fondfr'}],elle sort par le fond
[{'translation_text': 'Buy all three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colorsfrom All three colors'}],achète les trois couleurs
"[{'translation_text': ""I've made a mistake.""}]",j'ai fait une erreur
"[{'translation_text': '️ Not too soon, especially not too soon️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}]",surtout pas trop tôt
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],et moi  ça me fait des peurs…
[{'translation_text': 'quelle jolie maisonfrfr ? quelle jolie maisonfr ?'}],quelle jolie maison
[{'translation_text': 'il sen est tiréfr il sen est tiréfr'}],il s’en est tiré
"[{'translation_text': 'Who turned out the lightfrom? - Ooh, who turned out the lightfrom?'}]",qui a éteint la lumière
"[{'translation_text': ""He can't do no morefrfr he can't do no morefr he can't do no morefr he can't do no morefr he can't do no morefr""}]",il ne peut pas faire plus
[{'translation_text': 'il est présent en francefr il est présent en Francefr il est présent en Francefr'}],il est présent en france
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il pratiquait le baseball
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],le commissaire lève la tête
"[{'translation_text': ""we'll return into the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the nightfrom the night before the night before the night before the night before the night before the night before the night before the night before the night before the night before the night before the night before the night before the night before the night before the night before the""}]",nous rentrerons dans la nuit
[{'translation_text': 'as encore bien fait...fr (en) [en] (en) [en) [en] (en) [en) [en] (en) [en) [en] (en) [en) [en] (en) [en) [en] (en) [en) [en] (en) [en) [en] (en) [en) [en] (en) [en) [en] (en) [en) [en] (en) [en) [en] (en) [en] (en) [en) [en (en) [en] (en) [en] (en) [en) [en] (en) [en (en) [en] (en) [en (en) [en] (en) [en (en) [en] (en) [en (en) [en] (en (en) [en]'}],t’as encore bien fait…
[{'translation_text': 'Je ne veux pas ...fr Je ne veux pas ...fr'}],je ne veux pas  …
[{'translation_text': 'nous avions eu peurfrfr nous avions eu peurfr'}],nous avions eu peur
[{'translation_text': '️20 playersfr around 20 playersfr around 20 playersfr around 20 playersfr'}],une vingtaine de joueurs
[{'translation_text': 'Vous devriez avoir hontefr Vous devriez avoir hontefr Vous devriez avoir hontefr Vous devriez avoir hontefr'}],vous devriez avoir honte
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],le temps est froid
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il y a de l'eau
[{'translation_text': 'elle est deboutfr elle est deboutfr'}],elle est debout
[{'translation_text': 'What kind of work do you do?️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],quel métier faites vous
[{'translation_text': 'cet enfant a les yeux bleusfr cet enfant a les yeux bleusfr Cette enfant a les yeux bleusfr Cette enfant a les yeux bleusfr Cette enfant a les yeux bleusfr Cette enfant a les yeux bleusfr Cette enfant a les yeux bleusfr Cette enfant a les yeux bleusfr'}],cet enfant a les yeux bleus
[{'translation_text': 'est lhabitudefr est lhabitudefr est lhabitudefr est lhabitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr habitudefr '}],c’est l’habitude
[{'translation_text': 'All this requires of timefrom all this requires of timefrom all that takes of timefrom all that takes of timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefrom timefr'}],tout cela demande du temps
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],la femme est son sujet favori
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],celle ci a disparu
"[{'translation_text': ""I'll go to my dressing. I'll go to my dressing. I'll go to my dressing. I'll go to my dressing. I'll go to my dressing.""}]",va t'en  je vais m'habiller
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],tu es sûr qu'on aimerait
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],à ses risques et périls
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],ce cadeau est à toi et à moi
[{'translation_text': 'ce nest pas la questionfr Ce nest pas la questionfr Ce nest pas la questionfr Ce nest pas la questionfr Ce nest pas la questionfr Ce nest pas la questionfr Ce nest pas la questionfr Ce nest pas la questionfr Ce nest pas la questionfr Ce nest pas la questionfr Ce nest pas la questionfr Ce nest pas la questionfr Ce nest pas la questionfr Ce nest pas la questionfr Ce nest pas la questionfr Ce nest pas la questionfr'}],ce n’est pas la question
[{'translation_text': 'What can this do ...fr?                                                                                                '}],ce que cela peut faire  …
[{'translation_text': 'nous nous lisonsfr nous nous lisonsfr'}],nous  nous lisons
[{'translation_text': 'Que charlatan tu ferais ...fr'}],quel charlatan tu ferais  …
[{'translation_text': 'Belle proposition en effetfrfr belle proposition en effet'}],belle proposition en effet
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il a été très frappé
[{'translation_text': 'You can hold my doudoufr. - O ka paʻakai i kaʻu doudoufr.'}],tu peux tenir mon doudou
[{'translation_text': 'Delliponti a un fratellino fr'}],delliponti a un petit frère
[{'translation_text': '11                                                                                                   '}],soixante et onze
"[{'translation_text': ""I'll make the route à piedfr. - (I'll make the route à piedfr.) - (I'll make the route à piedfr.) - (I'll make the route à piedfr.)""}]",je ferai la route à pied
[{'translation_text': 'bientôt il éleva le tonfr il éleva le tonfr il éleva le tonfr'}],bientôt il éleva le ton
[{'translation_text': 'on se fait un italienfr on se fait un italienfr on se fait un italienfr on se fait un italienfr on se fait un italienfr'}],on se fait un italien
[{'translation_text': 'quelle négligence se dit ilfr ?? ♂️'}],quelle négligence  se dit il
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],ça ne compte pas
"[{'translation_text': ""I don't understand ...fr [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't understand] [I don't know] [I don't know] [I don't know] [I don't know] [I don't know] [I don't know] [I don't know] [I don't know] [I""}]",je ne comprends pas  …
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],son siège est brookings
[{'translation_text': 'micheline ma toutfr dit: [ˈmiʃɛlɪn ma toutfr diˈtɛr]'}],micheline m’a tout dit
[{'translation_text': 'You promised to mfrattendre (you promised to mfrattendre) - Obakeng Ngwenya (Obakeng Ngwenya)'}],tu avais promis de m’attendre
"[{'translation_text': ""I'm leaving for Salem tomorrowfrom evening️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️""}]",je pars à salem demain soir
[{'translation_text': 'elle est admirablefr elle est admirablefr'}],elle est admirable
[{'translation_text': 'est fridfr que cest froidfr que cest froidfr que cest froidfr que cest froidfr que cest froidfr que cest froidfr que cest froidfr que cest froidfr que cest froidfr que cest froidfr que cest froidfr que cest froidfr que cest froidfr que cest froidfr que cest froidfr que cest froidfr que cest froidfr que cest froidfr'}],que c’est froid
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il jouait avec eux
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il met fin à sa saison
[{'translation_text': 'Vous êtes très aimablefr Vous êtes très aimablefr Vous êtes très aimablefr Vous êtes très aimablefr'}],vous êtes très aimable
[{'translation_text': 'La jument bonditfr est bonne'}],la jument bondit
[{'translation_text': 'quelle est cette femmefr ? quelle est cette femmefr ?'}],quelle est cette femme
"[{'translation_text': ""Voilà vos deux francs ...'fr""}]",voilà vos deux francs …'
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],elle ne sait jamais rien
[{'translation_text': 'comment était le voyagefr?'}],comment était le voyage
[{'translation_text': 'Life is sometimes so long️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],la vie est parfois si longue
[{'translation_text': 'in les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr dans les maisonsfr'}],dans les maisons
[{'translation_text': 'two points davancefrfr:two points davancefr:two points davancefr:two points davancefr:two points davancefr:two points davancefr:two points davancefr:two points davancefr:two points davancefr:two points davancefr:two points davancefr:two points davancefr:two points davancefr:two points davancefr:two points davancefr:two points davancefr:two points davancefr:two points davancefr:two points'}],deux points d’avance
[{'translation_text': 'il est cinq heuresfr il est cinq heuresfr'}],il est cinq heures
"[{'translation_text': ""what's your sister's name?What's your sister's name?""}]",comment s'appelle votre sœur
[{'translation_text': 'Une minute cinquantefr (une minute cinquantefr) - Une minute cinquantefr (une minute cinquantefr) - Metsotso e mashome a mahlano'}],une minute cinquante
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il ne fait pas beau
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],j'avais le cœur serré
"[{'translation_text': ""I'm sure they'd have loved it. (I'm sure they'd have loved it.)""}]",je suis sûr qu’il aurait aimé
[{'translation_text': 'La jument bonditfr est bonne'}],la jument bondit
[{'translation_text': 'e ten je te chasse frere'}],va t’en   je te chasse
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il peut donc être retiré
"[{'translation_text': ""You've had students from you You've had students from you You've had students from you""}]",t'as eu des étudiants toi
[{'translation_text': 'est difficilefrfr est difficilefr'}],c’est difficile
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il parle dans le téléphone
"[{'translation_text': ""audace n'est pas déraisonfrfr audace n'est pas déraisonfr est pas déraisonfr audace n'est pas déraisonfr est pas déraisonfr""}]",audace n'est pas déraison
[{'translation_text': 'Tell them to all the fivefr. - Balela bona ba bahlanofr.'}],dis leur à tous les cinq
[{'translation_text': 'vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr vos trois têtesfr'}],vos trois têtes
[{'translation_text': 'I gotta get there.'}],il faut que j'y arrive
"[{'translation_text': ""il répond mal à l'aisefr""}]",il répond malaisément
[{'translation_text': 'another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal yellowfr another animal'}],un autre animal jaune
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],une jupe quelconque
[{'translation_text': 'je ferme la parenthèsefr je ferme la parenthèsefr je ferme la parenthèsefr je ferme la parenthèsefr je ferme la parenthèsefr je ferme la parenthèsefr je ferme la parenthèsefr je ferme la parenthèsefr je ferme la parenthèsefr je ferme la parenthèsefr je ferme la parenthèsefr je ferme la parenthèsefr'}],je clos la parenthèse
[{'translation_text': 'je vous ai donné la balancefr'}],je vous ai donné la balance
[{'translation_text': 'dixfr sept maisons dixfr sept maisons dixfr sept maisons dixfr sept maisons dixfr sept maisons dixfr sept maisons dixfr sept maisons dixfr sept maisons dixfr sept maisons dixfr sept maisons dixfr sept maisons dixfr sept maisons dixfr sept maisons dixfr sept maisons dixfr sept maisons dixfr sept maisons dixfr sept maisons dixfr sept maisons'}],dix sept maisons
[{'translation_text': 'I live in London. I live in London. I live in London. I live in London. I live in London. I live in London. I live in London. I live in London. I live in London. I live in London. I live in London. I live in London. I live in London. I live in London. I live in London. I live in London. I live in London. I live in the city of London. I live in the city of London.'}],j'habite à londres
[{'translation_text': 'sit beside the bedfr'}],il s’assit près du lit
[{'translation_text': 'je cours rassurer nos amisfr je cours rassurer nos amisfr'}],je cours rassurer nos amis
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],est ce qu’il viendra
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il est mort à milan
[{'translation_text': 'est compréhensiblefr: [ˈkʌmɪst ˈkʌmɪʃənˈbleɪf]'}],c’est compréhensible
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il faut en tenir compte
[{'translation_text': 'est toujours comme ça icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr icifr'}],c’est toujours comme ça ici
[{'translation_text': 'Vous savez combien il coûtefr Vous savez combien il coûtefr'}],vous savez combien il coûte
"[{'translation_text': ""je n'attends personnefr personnefr je n'attends personnefr personnefr""}]",je n’attends personne
[{'translation_text': 'est pas un jeu de jeu '}],ce n’est pas d’un jeu
[{'translation_text': '️ ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr ne le frappez pasfr'}],ne le frappez pas
[{'translation_text': 'See you later. See you later.'}],je vous verrai plus tard
"[{'translation_text': ""I'm not sure. I'm not sure. I'm not sure. I'm not sure. I'm not sure.""}]",je n’en suis pas sûre
[{'translation_text': 'la chaise est casséefrfr la chaise est casséefr la chaise est casséefr la chaise est casséefr la chaise est casséefr la chaise est casséefr la chaise est casséefr la chaise est casséefr la chaise est casséefr la chaise est casséefr la chaise est casséefr la chaise est casséefr la chaise est casséefr la chaise est casséefr la chaise est casséefr la chaise est casséefr la chaise est casséefr la chaise'}],la chaise est cassée
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],et si on commandait une pizza
[{'translation_text': 'Vous savez comment cuisinerfr Vous savez comment cuisinerfr'}],vous savez comment cuisiner
[{'translation_text': 'aimerais ta soeurfr'}],j’aimerais ta sœur
[{'translation_text': 'The sky was darkfr The sky was darkfr'}],le ciel était sombre
[{'translation_text': 'What kind of work do you do?️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],quel métier faites vous
[{'translation_text': 'tu reprendras de la viande tu reprendras de la viande tu reprendras de la viande tu reprendras de la viande tu reprendras de la viande tu reprendras de la viande tu reprendras de la viande tu reprendras de la viande tu reprendras de la viande tu reprendras de la viande tu reprendras de la viande tu reprendras de la viande tu reprendras de la viande tu reprendras de la viande tu reprendras de la viande tu reprendras de la viande tu reprendras de la viande'}],tu reprendras de la viande
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il souffre de calvitie
[{'translation_text': 'tu comprends maintenantfr tu comprends maintenantfr'}],tu comprends  maintenant
[{'translation_text': 'un tout petit tout petit papillonfr                                                                                               '}],un tout petit petit papillon
[{'translation_text': 'Marcof les calme du gestefr (Marcof le calme du gestefr) - [Marof le calme du gestefr] - [Marcof le calme du gestefr] - [Marcof le calme du gestefr] - [Marcof le calme du gestefr] - [Marcof le calme du gestefr] - [Marcof le calme du gestefr] - [Marcof le calme du gestefr] - [Marcof le calme du gestefr] - [Marcof le calme du gestefr] - [Marcof le calme du gestefr] - [Marcof le calme du gestefr] - [Marcof le calme du gestefr] - [Marcof le calme du gestefr] - [Marcof le calme du gestefr] - [Marcof le calme du gestefr'}],marcof les calma du geste
[{'translation_text': '️ Où sont les livresfr ? - Où sont les livresfr ? - Où sont les livresfr ? - Où sont les livresfr ? - Où sont les livresfr ? - Où sont les livresfr ?'}],où sont les livres
